impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K16-087784,A488263,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488263,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Marble,Cat,6 YEARS,Spayed Female,Domestic Shorthair,Blk Smoke,02/23/2016 12:00:00 AM,Received on,14800 SE 272ND ST,KENT,WA,98042,KENT,37.090608,-95.712816,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488263,Image Copyright HLP Inc. 2016,"14800 SE 272ND ST
KENT, WA 98042
(47.358008, -122.143477)","Received on: 2016-02-23<p></p> Found Near: 14800 SE 272ND ST, KENT WA 98042<p></p> Description: Blk Smoke Spayed Female Domestic Shorthair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>"
K16-087791,A488311,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518842,In Public Home,,Cat,Under 1 year,Male,Domestic Shorthair,Unknown,02/23/2016 12:00:00 AM,Date Found,1ST PL S NEAR S 338TH PL,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518842,Image Copyright HLP Inc. 2016,"1ST PL S NEAR S 338TH PL
","Description: Orange Tabby, no collar, no microchip located, young maybe 4-6months old, friendly.<p></p>Age: Under 1 year<p></p>Location Found: 1st PL S near S 338th pl<p></p>Notes: <p></p>Found Date: 02/23/2016<p></p>Finder Address:  Federal Way WA 98003"
K16-087781,A488257,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Dog,4 YEARS,Unaltered,Mastiff / Mix,Black / White,02/23/2016 12:00:00 AM,Received on,35800 MILITARY RD S,AUBURN,WA,98001,KING COUNTY,,,,Image Copyright HLP Inc. 2016,"35800 MILITARY RD S
AUBURN, WA 98001
(47.279383, -122.275104)","Received on: 2016-02-23<p></p> Found Near: 35800 MILITARY RD S, AUBURN WA 98001<p></p> Description: Black / White Unaltered Mastiff / Mix Dog<p></p> Age: 4 YEARS<p></p>"
K16-087778,A488254,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Russell,Dead Dog,15 YEARS,Neutered Male,Australian Shepherd,Black / White,02/23/2016 12:00:00 AM,Received on,500 2ND AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2016,"500 2ND AVE S
KENT, WA 98032
(47.377758, -122.234891)","Received on: 2016-02-23<p></p> Found Near: 500 2ND AVE S, KENT WA 98032<p></p> Description: Black / White Neutered Male Australian Shepherd Dog<p></p> Age: 15 YEARS<p></p>"
K16-087784,A488263,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A488263,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Marble,Cat,6 YEARS,Spayed Female,Domestic Shorthair,Blk Smoke,02/23/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488263,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-23<p></p> Description: Blk Smoke<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087782,A259005,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A259005,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Scratch,Cat,7 YEARS,Neutered Male,Domestic Shorthair,Black / White,02/23/2016 12:00:00 AM,Received on,27111 167TH PL SE,COVINGTON,WA,98042,COVINGTON,47.358606,-122.118905,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A259005,Image Copyright HLP Inc. 2016,"27111 167TH PL SE
COVINGTON, WA 98042
(47.358538, -122.118293)","Received on: 2016-02-23<p></p> Description: Black / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 7 YEARS<p></p> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087764,A483884,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A483884,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tonka,Cat,12 YEARS,Neutered Male,Domestic Shorthair,Orange / White,02/22/2016 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A483884,Image Copyright HLP Inc. 2016,,"Received on: 2016-02-22<p></p> Description: Orange / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 12 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087767,A413980,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A413980,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Jack,Dog,10 YEARS,Neutered Male,Miniature Schnauzer,Black,02/22/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A413980,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-22<p></p> Description: Black<p></p>  Neutered Male Miniature Schnauzer Dog<p></p> Age: 10 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi, my name is &ldquo;Jack&rdquo; and I'm at the Regional AnimalServices shelter in Kent waiting for a new home.  You can also find me by my ID #A413980. I'mabout 10 years old and weigh around 14 pounds.<p></p><p></p>I&rsquo;m a very sweet guy who is looking for a nice home. My former owner couldn&rsquo;tafford to take me to a vet and said that I would yelp with pain in the middleof the night. I was brought to the shelter and they asked for me to be putdown, but the folks at the shelter helped fix me up and they haven&rsquo;t noticed meexperiencing any unusual pain. I&rsquo;m good on a leash and very friendly.  <p></p><p></p>Because of my size and age, I&rsquo;d do best with kids 8 and up who will understandthey need to be gentle with me. I&rsquo;m here at the shelter with my long-timefriend, Roxie. If you would be interested in giving us both a home, we&rsquo;d reallybe appreciative of that!!  <p></p><p></p>Please come and see me today!  03/01/16<p></p> Adoption Fee: $100.00<p></p>"
K16-087766,A488205,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488205,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Peanut,Dog,7 YEARS,Neutered Male,Chihuahua - Smooth Coated,Black / White,02/22/2016 12:00:00 AM,Received on,26800 28TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488205,Image Copyright HLP Inc. 2016,"26800 28TH AVE S
KENT, WA 98032
(47.361207, -122.297285)","Received on: 2016-02-22<p></p> Found Near: 26800 28TH AVE S, KENT WA 98032<p></p> Description: Black / White Neutered Male Chihuahua - Smooth Coated Dog<p></p> Age: 7 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087771,A488216,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518146,LOST,Rocket,Dog,Under 1 year,Male,Australian Cattle Dog,Unknown,02/22/2016 12:00:00 AM,Date Lost,KENTWOOD HIGH SCHOOL JUNIOR PARKING LOT,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518146,Image Copyright HLP Inc. 2016,"KENTWOOD HIGH SCHOOL JUNIOR PARKING LOT
","Description: he has white spot on his back left heel, some black spots near the op of his head<p></p>Age: Under 1 year<p></p>Location Lost: Kentwood High School junior parking lot<p></p>Notes: he is wearing a star wars collar and leash<p></p>Lost Date: 02/22/2016<p></p>"
K16-087768,A413979,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A413979,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Roxie,Dog,10 YEARS,Spayed Female,Labrador Retriever,Black,02/22/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A413979,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-22<p></p> Description: Black<p></p>  Spayed Female Labrador Retriever Dog<p></p> Age: 10 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi, my name is &ldquo;Roxie&rdquo; and I'm at the Regional AnimalServices shelter in Kent waiting for a new home.  You can also find me by my ID #A413979. I'mabout 10 years old and weigh around 90 pounds.<p></p><p></p>I&rsquo;m a very sweet girl who is looking for a nice home. My former owner couldn&rsquo;tafford to take me to a vet and said that I would yelp with pain in the middleof the night. I was brought to the shelter and they asked for me to be putdown, but the folks at the shelter helped fix me up and they haven&rsquo;t noticed meexperiencing any unusual pain. I&rsquo;m good on a leash and very friendly,especially when someone brushes me. I know how to sit on command and lovegetting treats!  However, I am overweightand probably shouldn&rsquo;t get too many treats!<p></p><p></p>I&rsquo;m here at the shelter with my long-time friend, Jack. If you would beinterested in giving us both a home, we&rsquo;d really be appreciative of that!!  <p></p><p></p>Please come and see me today!  03/01/16<p></p> Adoption Fee: $100.00<p></p>"
K16-087759,A488114,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1517772,In Public Home,,Cat,Under 1 year,Male,American Shorthair,Black / Black,02/21/2016 12:00:00 AM,Date Found,2100 HARRINGTON PL NE,RENTON,WA,98056,RENTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1517772,Image Copyright HLP Inc. 2016,"2100 HARRINGTON PL NE
RENTON, WA 98056
(47.510704, -122.18162)",Description: Has not been neutered. Male black cat smaller size. Seems younger. Clippered hair on left hip where injury has healed. Friendly<p></p>Age: Under 1 year<p></p>Location Found: 2125 Harrington Place NE<p></p>Notes: <p></p>Found Date: 02/21/2016<p></p>Finder Address:  Renton Wa 98056
K16-087755,A170849,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Jerry,Dead Dog,NO AGE,Neutered Male,Australian Cattle Dog,Tricolor,02/21/2016 12:00:00 AM,Received on,14200 8TH AVE SW,BURIEN,WA,98166,BURIEN,,,,Image Copyright HLP Inc. 2016,"14200 8TH AVE SW
BURIEN, WA 98166
(47.475177, -122.344783)","Received on: 2016-02-21<p></p> Found Near: 14200 8TH AVE SW, BURIEN WA 98166<p></p> Description: Tricolor Neutered Male Australian Cattle Dog Dog<p></p> Age: NO AGE<p></p>"
K16-087780,A488255,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518446,LOST,Frodo,Dog,Over 1 year,Male,Jack Russell Terrier,Unknown,02/21/2016 12:00:00 AM,Date Lost,18200 SE 147TH ST,RENTON,WA,98059,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518446,Image Copyright HLP Inc. 2016,"18200 SE 147TH ST
RENTON, WA 98059
(47.470604, -122.098644)","Description: Short legged rough coat Jack Russell Terrier, white with reddish brown spots on back and head. Very friendly, loves kids, is friendly with other dogs, chases cats and other smaller animals but not aggressive with them.<p></p>Age: Over 1 year<p></p>Location Lost: 18225 SE 147th st.<p></p>Notes: King County License # L14-220056<p></p>Lost Date: 02/21/2016<p></p>"
K16-087748,A488105,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1517567,LOST,Mr. Or Teddy,Dog,Over 1 year,Male,Yorkshire Terrier,Unknown,02/21/2016 12:00:00 AM,Date Lost,161ST PL,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1517567,Image Copyright HLP Inc. 2016,"161ST PL
","Description: hairless ears and no teeth<p></p>Age: Over 1 year<p></p>Location Lost: 161st Pl<p></p>Notes: Shy, timid, has no teeth, no fur/hair on ears, last seen with a grey and red sweater<p></p>Lost Date: 02/21/2016<p></p>"
K16-087756,A488112,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488112,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 YEARS,Unaltered,Domestic Shorthair,Tortie,02/21/2016 12:00:00 AM,Received on,26000 167TH PL SE,COVINGTON,WA,98042,COVINGTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488112,Image Copyright HLP Inc. 2016,"26000 167TH PL SE
COVINGTON, WA 98042
(47.368274, -122.118315)","Received on: 2016-02-21<p></p> Found Near: 26000 167TH PL SE, COVINGTON WA 98042<p></p> Description: Tortie Unaltered Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-087752,A488109,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1517600,LOST,Bronco,Dog,Over 1 year,Male,Pit Bull,Unknown,02/20/2016 12:00:00 AM,Date Lost,2500 24TH ST SE,AUBURN,WA,98002,AUBURN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1517600,Image Copyright HLP Inc. 2016,"2500 24TH ST SE
AUBURN, WA 98002
(47.287858, -122.196021)","Description: 10 yr old pit mix..red canvas collar with tags...old phone number on tag...very friendly, outgoing...brindle coloring<p></p>Age: Over 1 year<p></p>Location Lost: 2515 24th St. S.E.<p></p>Notes: <p></p>Lost Date: 02/20/2016<p></p>"
K16-087908,A488622,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1521180,LOST,Charlie,Cat,Over 1 year,Female,Domestic Shorthair,Unknown,02/20/2016 12:00:00 AM,Date Lost,18900 276TH AVE SE,ISSAQUAH,WA,98027,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1521180,Image Copyright HLP Inc. 2016,"18900 276TH AVE SE
ISSAQUAH, WA 98027
(47.431676, -121.972739)",Description: grey/black stripped medium build cat with mostly white back legs and most white front paws.<p></p>Age: Over 1 year<p></p>Location Lost: 18925 276 AVE SE<p></p>Notes: <p></p>Lost Date: 02/20/2016<p></p>
K16-087742,A488098,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1517369,LOST,Heath,Dog,Over 1 year,Male,Staffordshire Bull Terrier,Unknown,02/20/2016 12:00:00 AM,Date Lost,NE 140TH STREET AND 87TH AVE NE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1517369,Image Copyright HLP Inc. 2016,"NE 140TH STREET AND 87TH AVE NE
(47.726463, -122.225046)","Description: He was wearing two collars, a canvas/nylon collar and a flea collar.  He is very tubby.  Mostly red with white chest and paws, and a white stripe down his nose.  Black nose.<p></p>Age: Over 1 year<p></p>Location Lost: NE 140th Street and 87th Ave NE<p></p>Notes: He had on two collars - one is a flea collar.  Pudgy mutt mixed Staffordshire.<p></p>Lost Date: 02/20/2016<p></p>"
K16-087731,A488085,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Cujo,Dead Dog,2 YEARS,Male,Pit Bull,Black / White,02/20/2016 12:00:00 AM,Received on,18700 MILITARY RD S,SEATAC,WA,98188,SEATAC,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"18700 MILITARY RD S
SEATAC, WA 98188
","Received on: 2016-02-20<p></p> Found Near: 18700 MILITARY RD S, SEATAC WA 98188<p></p> Description: Black / White Male Pit Bull Dog<p></p> Age: 2 YEARS<p></p>"
K16-087738,A488092,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,4 YEARS,Male,Domestic Shorthair,Brn Tabby / White,02/20/2016 12:00:00 AM,Received on,17600 140TH AVE SE,RENTON,WA,98058,KING COUNTY,,,,Image Copyright HLP Inc. 2016,"17600 140TH AVE SE
RENTON, WA 98058
(47.444219, -122.154224)","Received on: 2016-02-20<p></p> Found Near: 17600 140TH AVE SE, RENTON WA 98058<p></p> Description: Brn Tabby / White Male Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p>"
K16-087730,A488084,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,3 YEARS,Male,Domestic Longhair,Black / White,02/20/2016 12:00:00 AM,Received on,24800 MILITARY RD S,KENT,WA,98032,KENT,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"24800 MILITARY RD S
KENT, WA 98032
(47.379404, -122.28628)","Received on: 2016-02-20<p></p> Found Near: 24800 MILITARY RD S, KENT WA 98032<p></p> Description: Black / White Male Domestic Longhair Cat<p></p> Age: 3 YEARS<p></p>"
K16-087801,A488322,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518968,LOST,Hobbs,Cat,Over 1 year,Male,Domestic Mediumhair,Unknown,02/19/2016 12:00:00 AM,Date Lost,900 4TH ST,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518968,Image Copyright HLP Inc. 2016,"900 4TH ST
KIRKLAND, WA 98033
(47.682604, -122.201679)",Description: Medium size cat with soft fur medium length. Tiger looking stripes down the chest with light brown and black. Yellow eyes. Kneeds/sucks on blanket or person's shirt when sleeping on your lap. Friendly. Loves our dog - licks the dog!<p></p>Age: Over 1 year<p></p>Location Lost: 910 4th Street<p></p>Notes: Hobbs came for breakfast on Friday and then he never came back.<p></p>Lost Date: 02/19/2016<p></p>
K16-087787,A488268,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518608,In Public Home,,Dog,Under 1 year,Female,Afghan Hound,Brown / White,02/19/2016 12:00:00 AM,Date Found,,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518608,Image Copyright HLP Inc. 2016,,Description: <p></p>Age: Under 1 year<p></p>Location Found: No Location Given<p></p>Notes: <p></p>Found Date: 02/19/2016<p></p>Finder Address:  Auburn Wa 98002
K16-087765,A488194,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518051,In Public Home,,Dog,Over 1 year,Male,Chihuahua - Smooth Coated,Unknown,02/19/2016 12:00:00 AM,Date Found,10TH AVENUE SOUTH AND SOUTH 226TH STREET,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518051,Image Copyright HLP Inc. 2016,"10TH AVENUE SOUTH AND SOUTH 226TH STREET
","Description: This dog came to my front porch on Friday night and was soaking wet. No collar or microchip.  Seems like an older dog, a fairly large Chihuahua, fawn color with white blaze on the face and down the back. Nice, friendly though a little shy.<p></p>Age: Over 1 year<p></p>Location Found: 10th Avenue South and South 226th Street<p></p>Notes: <p></p>Found Date: 02/19/2016<p></p>Finder Address:  Seattle WA 98198"
K16-087718,A488015,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A488015,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Happy,Cat,6 YEARS,Spayed Female,Domestic Shorthair,Black,02/19/2016 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488015,Image Copyright HLP Inc. 2016,"21600 64TH AVE S
KENT, WA 98032
(47.407966, -122.254621)","Received on: 2016-02-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p></p>"
K16-087718,A488015,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A488015,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Happy,Cat,6 YEARS,Spayed Female,Domestic Shorthair,Black,02/19/2016 12:00:00 AM,Received on,28606 132ND AVE SE,KENT,WA,98042,KENT,47.344857,-122.164359,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A488015,Image Copyright HLP Inc. 2016,"28606 132ND AVE SE
KENT, WA 98042
(47.344112, -122.165482)","Received on: 2016-02-19<p></p> Description: Black<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087788,A488269,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1518610,LOST,Ichiro Russ,Dog,Over 1 year,Male,Shih Tzu,Unknown,02/19/2016 12:00:00 AM,Date Lost,5000 114TH AVE NE,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1518610,Image Copyright HLP Inc. 2016,"5000 114TH AVE NE
KIRKLAND, WA 98033
(47.654382, -122.188277)","Description: Ichiro is 15 years old, has a hard time hearing, and he has a red mark (the fur is red too) on the front left side of his chest. The picture I have listed below DOES NOT show the red mark I was talking about earlier.<p></p>Age: Over 1 year<p></p>Location Lost: 5006 114th Ave NE<p></p>Notes: Ichiro does have a chip, I just don't know what the number is to it.<p></p>Lost Date: 02/19/2016<p></p>"
K16-087747,A488104,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1517551,In Public Home,,Dog,Under 1 year,Female,American Pit Bull Terrier,White,02/19/2016 12:00:00 AM,Date Found,2300 N 161ST ST,SHORELINE,WA,98133,SHORELINE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1517551,Image Copyright HLP Inc. 2016,"2300 N 161ST ST
SHORELINE, WA 98133
(47.745689, -122.337901)","Description: Female pit or pit mix, approximately 7 months old, 47 pounds.  Not spayed.  She had no collar and was not microchipped.<p></p>Age: Under 1 year<p></p>Location Found: 2314 N 161st St<p></p>Notes: <p></p>Found Date: 02/19/2016<p></p>Finder Address:  Shoreline Wa 98133"
K16-087708,A488005,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Dog,NO AGE,Unaltered,Labrador Retriever,Black,02/18/2016 12:00:00 AM,Received on,31400 SE ENUMCLAW CHINOOK PASS RD,ENUMCLAW,WA,98022,KING COUNTY,37.090608,-95.712816,,Image Copyright HLP Inc. 2016,"31400 SE ENUMCLAW CHINOOK PASS RD
ENUMCLAW, WA 98022
(47.196257, -121.947048)","Received on: 2016-02-18<p></p> Found Near: 31400 SE ENUMCLAW CHINOOK PASS RD, ENUMCLAW WA 98022<p></p> Description: Black Unaltered Labrador Retriever Dog<p></p> Age: NO AGE<p></p>"
K16-087716,A486250,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A486250,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Taffy,Cat,6 YEARS,Neutered Male,Domestic Shorthair,Orange / White,02/18/2016 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A486250,Image Copyright HLP Inc. 2016,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.679306, -122.179979)","Received on: 2016-02-18<p></p> Description: Orange / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p><p></p> Adoption Fee: $30.00<p></p>"
K16-087729,A488083,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1517043,LOST,Stewie,Dog,Unknown,Male,Siberian Husky,Unknown,02/18/2016 12:00:00 AM,Date Lost,9200 S 239TH PL,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1517043,Image Copyright HLP Inc. 2016,"9200 S 239TH PL
KENT, WA 98031
(47.387388, -122.216634)","Description: <p></p>Age: Unknown<p></p>Location Lost: 9223 s 239th pl<p></p>Notes: Blue eyes very friendly husky, has a tan back, face is white with some tan also.<p></p>Lost Date: 02/18/2016<p></p>"
K16-087711,A488008,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1516533,In Public Home,,Dog,Over 1 year,Male,Labrador Retriever,Brown,02/18/2016 12:00:00 AM,Date Found,,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1516533,Image Copyright HLP Inc. 2016,,Description: <p></p>Age: Over 1 year<p></p>Location Found: No Location Given<p></p>Notes: <p></p>Found Date: 02/19/2016<p></p>Finder Address:  Black diamond Wa 98010
